2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 0/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 0 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 14/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 14 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 15/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 15 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 16/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 16 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 17/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 17 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 18/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 18 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 19/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 19 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 20/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 20 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 21/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 21 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 22/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 22 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 23/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 23 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 24/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 24 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 25/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 25 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 26/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 26 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 27/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 27 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 28/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 28 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 29/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 29 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 30/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 30 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 31/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 31 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 32/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 32 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 33/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 33 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 34/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 34 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 35/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 35 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 36/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 36 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 37/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 37 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 38/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 38 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 39/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 39 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 40/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 40 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 41/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 41 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 42/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 42 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 43/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 43 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 44/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 44 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 45/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 45 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 46/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 46 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 47/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 47 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 48/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 48 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 49/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 49 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 50/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 50 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 51/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 51 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 52/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 52 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 53/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 53 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 54/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 54 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 55/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 55 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 56/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 56 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 57/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 57 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 58/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 58 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 59/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 59 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 60/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 60 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 61/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 61 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 62/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 62 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 63/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 63 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 64/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 64 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 65/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 65 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 66/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 66 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 67/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 67 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 68/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 68 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 69/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 69 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 70/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 70 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 71/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 71 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 72/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 72 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 73/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 73 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 74/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 74 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 75/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 75 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 76/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 76 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 77/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 77 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 78/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 78 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 79/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 79 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 80/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 80 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 81/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 81 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 82/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 82 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 83/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 83 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 84/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 84 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 85/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 85 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 86/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 86 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 87/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 87 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 88/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 88 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 89/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 89 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 90/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 90 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 91/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 91 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 92/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 92 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 93/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 93 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
